DCAA,TCAA,HAA5,TTHM,Temp,pH,DOC,Cl2,NO2-N,NH4-N,Br
12.0,16.0,30.0,34.0,8.3,8.04,3.9,2.066666666666667,0.0005,0.02,3.57
28.0,23.0,56.0,45.6,19.2,7.82,4.0,1.7466666666666668,0.0005,0.016,2.0199999999999996
3.9,2.5,7.6,22.5,19.8,7.8,1.2,0.9066666666666666,0.0005,0.0025,2.0199999999999996
8.6,4.4,16.0,27.1,22.3,8.0,1.3,0.8666666666666666,0.0005,0.024,2.0199999999999996
3.8,3.4,8.0,8.7,5.9,7.83,1.1,0.94,0.002,0.013,2.0199999999999996
0.15,0.375,0.5,1.0,13.8,7.36,3.3,0.49333333333333335,0.0005,0.027,1.12
0.15,0.375,0.5,1.5,23.3,7.27,3.7,1.1466666666666667,0.002,0.013,1.16
3.6,3.4,8.1,7.8,9.3,7.98,1.2,1.0533333333333335,0.0005,0.007,2.2
4.7,7.0,12.0,16.1,14.9,8.02,1.1,2.12,0.0005,0.009,1.88
24.0,29.0,56.0,46.9,17.099999999999998,8.05,2.9,2.1533333333333338,0.0005,0.017,2.93
17.0,25.0,44.0,48.0,7.5,7.56,2.9,0.84,0.0005,0.006,2.0199999999999996
6.9,9.7,18.0,26.3,10.7,7.62,2.5,1.9666666666666668,0.0005,0.006,2.0199999999999996
25.0,16.0,43.0,44.7,23.7,7.75,3.3,1.7733333333333334,0.0005,0.0025,0.76
7.8,12.0,20.0,29.1,6.0,7.97,2.2,1.24,0.0005,0.009,1.51
15.0,20.0,35.0,38.7,14.1,7.86,1.9,1.18,0.0005,0.024,1.74
0.15,0.375,0.5,2.2,9.6,8.14,0.4,0.7000000000000001,0.0005,0.0025,2.0199999999999996
0.74,0.375,1.1,2.3,9.2,8.0,0.4,0.84,0.0005,0.018,2.0199999999999996
2.9,4.2,8.8,15.2,9.9,8.16,1.6,1.5333333333333332,0.002,0.007,2.0199999999999996
9.7,9.7,20.0,37.1,18.3,7.92,2.0,1.4666666666666668,0.0005,0.01,2.0199999999999996
21.0,15.0,37.0,36.5,20.3,8.52,2.8,1.4733333333333334,0.005,0.344,2.0199999999999996
25.0,12.0,38.0,29.6,2.0,8.25,3.5,1.87,0.006,0.346,2.24
20.0,17.0,38.0,35.7,13.6,8.65,3.0,1.04,0.004,0.253,2.0199999999999996
25.0,20.0,45.0,46.4,20.6,8.59,2.8,1.4733333333333334,0.006,0.344,1.46
27.0,17.0,44.0,30.5,2.2,7.89,3.2,1.3866666666666667,0.01,0.309,2.0199999999999996
0.36,0.375,3.3,11.9,9.3,7.88,0.7,1.02,0.0005,0.025,2.0199999999999996
4.3,3.7,9.2,16.0,13.4,7.95,1.7,1.2,0.0005,0.0025,2.0199999999999996
7.5,5.3,15.0,17.3,11.75,7.86,1.5,1.2,0.0005,0.011,2.0199999999999996
6.6,6.0,15.0,19.9,15.6,8.03,1.6,1.4333333333333333,0.0005,0.0025,2.0199999999999996
3.6,3.5,8.0,14.5,11.0,7.81,1.1,1.2466666666666668,0.0005,0.0025,2.0199999999999996
8.7,8.4,18.0,18.6,9.5,7.6,1.4,1.26,0.0005,0.011,2.0199999999999996
0.61,0.375,1.9,4.3,12.0,8.17,1.5,1.1866666666666668,0.002,0.189,4.82
5.1,3.1,9.6,11.9,11.3,7.84,1.7,1.2866666666666666,0.002,0.013,3.89
2.1,1.4,4.6,9.9,8.0,8.03,1.7,1.0666666666666667,0.002,0.148,2.0199999999999996
4.0,2.0,7.4,12.6,11.0,7.87,1.7,1.3666666666666665,0.0005,0.164,2.0199999999999996
0.7,0.375,0.5,0.9,19.1,7.9,1.3,1.1733333333333333,0.0005,0.0025,1.6
2.4,0.375,3.0,0.7,6.0,7.59,1.4,1.0333333333333334,0.0005,0.023,3.62
2.8,1.9,5.7,19.6,19.5,7.76,1.3,1.0,0.002,0.008,2.0199999999999996
7.5,3.6,11.0,9.9,3.4,7.97,1.3,1.3133333333333332,0.0005,0.014,2.0199999999999996
6.8,5.0,14.0,34.6,21.2,8.09,1.4,0.8799999999999999,0.0005,0.029,2.0199999999999996
4.2,7.4,13.0,20.2,12.0,7.97,1.7,0.96,0.002,0.0025,0.9
1.9,2.8,5.6,15.3,11.6,7.96,1.5,0.8866666666666667,0.002,0.0025,0.67
4.9,2.5,8.1,10.2,5.7,7.95,1.9,0.9,0.0005,0.022,2.5
5.4,3.4,12.0,15.9,12.5,8.16,2.7,1.1133333333333333,0.0005,0.015,2.0199999999999996
14.0,3.5,20.0,9.2,18.2,8.07,2.1,1.2266666666666666,0.002,0.009,2.0199999999999996
0.66,0.375,0.5,1.5,11.3,8.11,0.5,0.9866666666666667,0.002,0.006,2.0199999999999996
18.0,3.3,22.0,11.0,6.6,8.13,2.4,0.9733333333333333,0.0005,0.019,2.0199999999999996
0.81,0.375,0.5,0.6,10.8,8.14,0.4,1.0733333333333333,0.0005,0.016,2.0199999999999996
0.15,0.375,0.5,0.3,8.4,7.69,0.5,0.82,0.0005,0.021,2.0199999999999996
0.15,0.375,0.5,0.3,12.1,7.63,0.5,1.0866666666666667,0.002,0.023,2.0199999999999996
12.0,18.0,32.0,35.5,7.5,7.46,3.0,1.0933333333333333,0.0005,0.007,2.0199999999999996
2.7,1.8,7.6,14.8,19.1,7.88,1.1,1.0533333333333335,0.0005,0.0025,2.73
2.7,1.5,5.8,9.0,9.3,7.89,1.2,1.0866666666666667,0.002,0.014,3.19
6.5,2.6,11.0,13.2,23.299999999999997,7.93,1.4,0.9533333333333333,0.0005,0.02,3.59
0.15,0.375,0.5,1.2,0.8,8.08,0.5,0.7799999999999999,0.0005,0.0025,2.0199999999999996
0.15,0.375,0.5,3.7,0.9,8.04,0.4,0.7200000000000001,0.0005,0.0025,2.0199999999999996
0.15,0.375,0.5,1.8,6.6,7.96,0.5,0.8533333333333334,0.002,0.012,2.0199999999999996
3.2,2.6,6.8,15.5,20.9,7.63,1.2,1.0066666666666666,0.0005,0.0025,3.08
1.6,0.82,3.1,4.4,8.6,7.6,1.0,1.0133333333333334,0.0005,0.017,2.03
16.0,22.0,41.0,44.5,6.0,7.57,3.8,1.88,0.0005,0.023,2.0199999999999996
25.0,32.0,58.0,54.0,5.0,7.75,3.4,1.6133333333333333,0.0005,0.016,2.0199999999999996
0.53,0.375,3.6,1.3,10.1,8.05,0.4,1.1066666666666667,0.0005,0.008,2.0199999999999996
0.47,0.375,3.7,0.8,10.2,7.96,0.4,1.1933333333333334,0.0005,0.0025,2.0199999999999996
0.15,0.375,0.5,2.7,9.0,8.17,0.7,1.1466666666666667,0.0005,0.018,2.0199999999999996
0.15,0.375,0.5,0.6,9.0,8.2,0.7,1.1466666666666667,0.0005,0.018,2.0199999999999996
4.3,4.5,9.6,19.0,12.0,8.11,2.2,1.4666666666666668,0.0005,0.0025,2.0199999999999996
4.7,5.8,12.0,18.3,8.0,7.94,2.9,1.3800000000000001,0.0005,0.014,2.0199999999999996
8.1,7.1,16.0,15.7,5.0,7.63,2.9,1.5466666666666666,0.0005,0.024,2.0199999999999996
7.1,6.6,15.0,37.7,18.0,8.0,1.8,1.0999999999999999,0.002,0.01,2.0199999999999996
11.0,10.0,22.0,29.8,19.8,7.97,1.9,0.8533333333333334,0.0005,0.014,2.0199999999999996
9.8,9.7,20.0,18.2,5.75,7.92,1.7,1.1666666666666667,0.0005,0.012,2.0199999999999996
13.0,20.0,32.0,34.4,11.0,7.81,2.0,1.5333333333333332,0.0005,0.0025,2.0199999999999996
17.0,28.0,46.0,44.3,13.4,7.73,1.9,1.4400000000000002,0.0005,0.008,1.34
4.0,2.0,6.6,12.9,8.0,7.86,1.4,1.1466666666666667,0.0005,0.013,2.94
3.4,1.4,7.7,16.0,9.5,7.92,1.3,1.04,0.002,0.009,2.0199999999999996
8.8,11.0,21.0,26.2,6.0,7.56,2.3,0.7400000000000001,0.002,0.022,1.61
0.8,0.375,1.2,6.4,8.0,8.17,0.5,0.7600000000000001,0.0005,0.008,1.22
1.2,1.7,2.9,7.4,9.0,8.17,0.6,0.82,0.0005,0.0025,0.08
1.5,0.375,1.9,4.5,8.0,8.03,1.1,0.7266666666666667,0.0005,0.022,0.92
3.0,2.3,5.3,7.4,8.0,8.06,1.3,0.8000000000000002,0.0005,0.027,0.23
8.2,12.0,21.0,23.9,10.2,7.44,1.5,1.2933333333333332,0.0005,0.015,2.0199999999999996
20.0,17.0,39.0,30.7,9.2,7.64,1.9,1.36,0.0005,0.018,2.0199999999999996
7.9,11.0,21.0,27.9,7.6,7.85,3.4,2.2,0.0005,0.016,2.0199999999999996
20.0,16.0,38.0,36.0,20.0,7.76,3.4,1.4666666666666668,0.0005,0.014,2.0199999999999996
14.0,22.0,37.0,45.6,4.75,7.93,4.0,1.32,0.004,0.368,2.0199999999999996
3.5,3.2,7.4,14.9,13.0,8.28,1.7,1.6666666666666667,0.002,0.0025,2.2
2.9,2.2,6.1,15.7,18.0,8.03,1.4,1.3133333333333335,0.0005,0.008,0.48
2.6,2.2,5.6,10.3,10.9,8.11,1.0,0.8733333333333334,0.0005,0.01,2.0199999999999996
3.4,2.1,6.9,12.7,21.7,7.77,0.7,0.9,0.0005,0.0025,2.0199999999999996
5.9,5.1,12.0,15.1,16.5,8.0,1.3,1.1533333333333333,0.0005,0.0025,2.45
7.2,4.4,12.0,12.8,7.0,7.89,1.1,1.18,0.0005,0.021,2.58
13.0,22.0,37.0,35.6,13.1,7.66,2.6,1.5133333333333334,0.0005,0.013,2.01
9.4,6.8,17.0,21.4,8.8,8.18,1.5,1.35,0.0005,0.026,0.86
2.9,1.9,4.8,9.1,9.9,8.31,0.7,1.32,0.0005,0.025,2.25
0.15,0.375,0.5,0.05,10.8,8.05,0.3,1.1466666666666667,0.0005,0.0025,6.08
6.2,3.5,12.0,19.9,11.5,8.08,1.6,1.1133333333333333,0.0005,0.018,1.46
10.0,15.0,25.0,42.2,4.5,7.74,3.1,1.3933333333333333,0.0005,0.0025,2.0199999999999996
28.0,25.0,53.0,53.0,18.7,7.83,3.1,1.5999999999999999,0.0005,0.0025,2.09
20.0,22.0,46.0,64.0,17.4,7.74,2.2,0.6266666666666666,0.0005,0.01,1.29
22.0,24.0,48.0,68.4,15.3,7.89,2.4,0.7533333333333333,0.0005,0.017,2.0199999999999996
0.15,0.375,0.5,0.2,7.5,8.08,0.4,1.1933333333333334,0.002,0.0025,0.78
4.2,1.6,14.0,54.5,14.7,8.01,1.2,1.4533333333333334,0.0005,0.035,11.8
12.0,13.0,28.0,48.7,15.5,8.06,3.3,1.2266666666666668,0.0005,0.0025,2.0199999999999996
19.0,15.0,35.0,56.3,22.7,7.94,3.8,1.5666666666666667,0.002,0.012,2.0199999999999996
