Dataset,Experiment,Arm,Seed,Train R2,Val R2,Test R2,Test MSE,Test MAE,Test R2 DCAA (ug/L),Test R2 TCAA (ug/L),Test R2 BCAA (ug/L),Test R2 HAA5 (ug/L),Test R2 HAA9 (ug/L),Params,Test R2 DCAA,Test R2 TCAA,Test R2 HAA5,Test R2 TTHM
original,module,full,42,0.36546560955562307,0.3414419365757156,0.04923677851334955,0.5628069020264252,0.6028591948196423,0.013317415042882308,0.1282945585357852,0.030482816058618467,0.06871106631255774,0.005378036616904058,177466.0,,,,
original,module,no_attention,42,0.9518458093074365,0.7250673202214029,0.22850259689093244,0.5172967589373616,0.42942253641992895,0.2918625454193101,0.4340277930340374,-0.3951889644061515,0.4263635633317825,0.38544804707568303,166661.0,,,,
original,module,no_chemistry,42,0.9599663750618639,0.6606119698645555,0.28453612265965533,0.48286388227441757,0.40962220304938884,0.3403288779323449,0.45849243800278494,-0.32847990018822815,0.48118846639877544,0.471150731152599,163914.0,,,,
original,module,no_interaction,42,0.2916719793762252,0.3629063074980042,0.04478807418078885,0.5669738302293512,0.6050999914059055,-0.04602064802310135,0.12441196832625734,0.039972202482652985,0.06776638563067905,0.03781046248745612,156986.0,,,,
original,module,no_grouping,42,0.7355207459756897,0.35312143788692685,0.2575659918040297,0.4416404397979973,0.4966200555039989,0.21424145191475363,0.35094292319232023,0.23837843876553344,0.2604375494804605,0.22382959566708072,100214.0,,,,
original,module,random_grouping,42,0.40118597391663036,0.3593963031269296,0.13914410507699373,0.5214643953582596,0.567668845926313,0.04142008415455389,0.29021386799304094,0.062205351561060995,0.16801953826088634,0.13386168341542604,177466.0,,,,
original,module,no_hier_loss,42,0.3676821784909457,0.33863718130223575,0.04892836901079276,0.5625548416368064,0.6018932512596381,0.00974444029877608,0.10316295748449333,0.029768889731016213,0.08791139045630991,0.014054167083367708,177466.0,,,,
original,module,multitask_mlp,42,0.8226778380586388,0.40267155243028807,0.2675676111181768,0.4457337650753635,0.46010843695599285,0.2533021547612464,0.2772792926848534,0.11169367611600256,0.3649557658720024,0.3306071661567792,5061.0,,,,
original,module,full,123,0.6159676261855107,0.4011464033545705,0.10234711207206118,0.5541146242555317,0.5421127628353294,0.03769742386379549,0.1379773707860089,0.06642269531702127,0.05784557654149203,0.21179249385198762,177466.0,,,,
original,module,no_attention,123,0.6223914563419861,0.3302067262058886,-0.05102673999353784,0.6516299988833766,0.5659853337318869,-0.008192319702612805,-0.04828835373835627,-0.014888826309538139,-0.06659983848745621,-0.117164361729726,166661.0,,,,
original,module,no_chemistry,123,0.6047579037646356,0.4905020793536732,0.16142394426585582,0.5189243512642479,0.5144250186879086,0.09248711348036731,0.16438648089808583,0.087087054326355,0.24944331988705315,0.21371575273741805,163914.0,,,,
original,module,no_interaction,123,0.7169438653091292,0.40877782403772933,0.19096111741198912,0.49891224933008793,0.5219077571630727,0.05640082618703124,0.2072567421871705,0.14521776461535196,0.24076464417120402,0.30516560989918773,156986.0,,,,
