Dataset,Experiment,Arm,N_seeds,Test R2 Mean,Test R2 Std,Delta R2 vs base,p_value_paired_t
ontario,feature,remove_Cl2,10,0.5746558003943477,0.0825634989511917,0.0019086360246766132,0.9478373929189701
ontario,feature,baseline_all_features,10,0.5727471643696711,0.09271728394116072,,
ontario,feature,remove_NH4-N,10,0.5667154146825247,0.08365149144770395,-0.0060317496871463705,0.6311639802492974
ontario,feature,remove_Temp,10,0.5625751303323934,0.08970086109877613,-0.010172034037277733,0.45021059230606075
ontario,feature,remove_NO2-N,10,0.5602896371678714,0.0886214976736585,-0.012457527201799712,0.3922872680497277
ontario,feature,remove_Br,10,0.549038742450342,0.0795265640186287,-0.023708421919329092,0.11015600062792842
ontario,feature,remove_pH,10,0.5160863291621697,0.07086210385164443,-0.056660835207501425,0.013988848101758784
ontario,feature,remove_DOC,10,0.2615366485920929,0.0777488389493608,-0.3112105157775782,9.556196079381376e-07
ontario,module,no_hier_loss,10,0.5727987421063516,0.09397000959247957,5.157773668051924e-05,0.9666085486459988
ontario,module,full,10,0.5727471643696711,0.09271728394116072,,
ontario,module,random_grouping,10,0.5659577305284673,0.08046209914282196,-0.006789433841203785,0.6428068710770987
ontario,module,no_interaction,10,0.5654011491280431,0.07695868190579486,-0.007346015241628034,0.7012965967905909
ontario,module,no_chemistry,10,0.5645584207342873,0.09233564508681154,-0.0081887436353838,0.25242737145298083
ontario,module,no_attention,10,0.5538130199390426,0.08378166944386418,-0.018934144430628463,0.06791607636730437
ontario,module,no_grouping,10,0.5244596957439824,0.06711374297942142,-0.04828746862568867,0.12729316661757795
ontario,module,multitask_mlp,10,0.49996876673195023,0.09369946387433131,-0.07277839763772087,0.0899717142899946
original,feature,remove_Br,10,0.2923309791159299,0.15171489060268628,0.00154398803173883,0.9533304980727373
original,feature,baseline_all_features,10,0.2907869910841911,0.17182346393355222,,
original,feature,remove_Cl2,10,0.28976188159370697,0.16315071420807983,-0.0010251094904841218,0.9829009696916643
original,feature,remove_pH,10,0.27223282355354295,0.15524944378163127,-0.018554167530648147,0.5032088866362026
original,feature,remove_NH4-N,10,0.22345174371939516,0.18327264470996887,-0.06733524736479593,0.06435653902970118
original,feature,remove_Temp,10,0.21121801104671595,0.21019509752917473,-0.07956898003747515,0.02974858997371235
original,feature,remove_NO2-N,10,0.19988231309532334,0.30590733179999674,-0.09090467798886775,0.16966032834175546
original,feature,remove_UVA254,10,0.1104518846053459,0.302321543919011,-0.1803351064788452,0.014017721483375432
original,feature,remove_DOC,10,0.08271060507029977,0.20893276030179136,-0.20807638601389133,0.0006936367892936112
original,minimal_sensors,explainable_minimal,10,0.18976570759940364,0.1292537464909201,,
original,minimal_sensors,svr_minimal,10,0.13817135185776602,0.20776775719767815,,
original,module,no_chemistry,10,0.33007180821564186,0.13000573473861468,0.03928481713145077,0.2620203657995629
original,module,multitask_mlp,10,0.32147885868550363,0.15470159999810018,0.03069186760131254,0.3129239302811197
original,module,no_interaction,10,0.2923295456183737,0.14416239522759244,0.0015425545341826163,0.960959073094605
original,module,full,10,0.2907869910841911,0.17182346393355222,,
original,module,no_hier_loss,10,0.28326421177861993,0.1783120895260372,-0.007522779305571159,0.32387768520621363
original,module,no_grouping,10,0.2563222341458151,0.23102558560276695,-0.03446475693837597,0.406305263820706
original,module,no_attention,10,0.24113486489845495,0.22971428396624388,-0.04965212618573614,0.2820334539711507
original,module,random_grouping,10,0.2032023066087098,0.2829729933635122,-0.08758468447548129,0.14962254083942525
