Seed,Test R2,environmental,organic_matter,disinfectant,nitrogen_species,halides
42,0.04923677851334955,0.12454056739807129,0.5060161352157593,0.08516327291727066,0.17990227043628693,0.10437781363725662
123,0.10234711207206118,0.04987772926688194,0.5577305555343628,0.057434167712926865,0.27613362669944763,0.05882386490702629
456,0.5057982550329709,0.04601592943072319,0.7145586013793945,0.04871281608939171,0.12276491522789001,0.06794774532318115
789,0.3849068785343779,0.1717487871646881,0.2833513021469116,0.06795196235179901,0.40451064705848694,0.0724373534321785
1024,0.2507466715696788,0.10866057127714157,0.5752608180046082,0.13180790841579437,0.12376019358634949,0.06051047518849373
2025,0.3346894798896181,0.06902895122766495,0.7158138155937195,0.04479236900806427,0.1552644968032837,0.015100406482815742
3407,0.019549936902084862,0.042599741369485855,0.6392495036125183,0.04775291308760643,0.2432594895362854,0.02713833935558796
5555,0.5001836291291438,0.05492621287703514,0.7764160633087158,0.04002534970641136,0.09754052758216858,0.031091881915926933
7777,0.3118315379180655,0.04655631631612778,0.5439296960830688,0.04018547385931015,0.32896000146865845,0.04036860913038254
9999,0.4485796312805602,0.20924663543701172,0.3918551802635193,0.25473934412002563,0.09902080148458481,0.04513804614543915
