Dataset,Seed,Lambda,Train R2,Val R2,Test R2,Test MSE,Test MAE,Test R2 DCAA (ug/L),Test R2 TCAA (ug/L),Test R2 BCAA (ug/L),Test R2 HAA5 (ug/L),Test R2 HAA9 (ug/L),Params,viol_haa5,viol_haa9,viol_nonneg,Test R2 DCAA,Test R2 TCAA,Test R2 HAA5,Test R2 TTHM
original,42,0.0,0.3676821784909457,0.33863718130223575,0.04892836901079276,0.5625548416368064,0.6018932512596381,0.00974444029877608,0.10316295748449333,0.029768889731016213,0.08791139045630991,0.014054167083367708,177466,0.20000000298023224,0.0,0.0,,,,
original,42,0.01,0.36786073147348886,0.34347540362548673,0.05195936963000767,0.5610852404730756,0.6004833605148029,0.01307823336028513,0.11059811255866858,0.030780712354940176,0.08860234661630517,0.016737443259838614,177466,0.15000000596046448,0.0,0.0,,,,
original,42,0.05,0.3672963676880868,0.34077603926777195,0.046829776978997525,0.563252730721591,0.6021477467201782,0.013785238063067307,0.10824095528394173,0.031188755731835105,0.07281487974861278,0.008119056067530273,177466,0.10000000149011612,0.0,0.0,,,,
original,42,0.1,0.36546560955562307,0.3414419365757156,0.04923677851334955,0.5628069020264252,0.6028591948196423,0.013317415042882308,0.1282945585357852,0.030482816058618467,0.06871106631255774,0.005378036616904058,177466,0.05000000074505806,0.0,0.0,,,,
original,42,0.5,0.3657382771402648,0.3332177193508886,0.03738032833175105,0.568247722931722,0.6055454035298824,0.024716906975797426,0.1755005166781649,0.037385431050285134,0.017458551768924302,-0.06815976481441699,177466,0.0,0.0,0.0,,,,
original,42,1.0,0.9342947556241098,0.4384072206415969,0.21447951253133857,0.5098374414851309,0.4488835768569942,0.31005057955845217,0.3224558144969778,-0.2997919717269528,0.3856424252690026,0.35404071505921253,177466,0.0,0.0,0.0,,,,
original,123,0.0,0.6046441023430728,0.40918932277714487,0.043083001785566274,0.5897400915368685,0.5497856219009636,-0.09375160614372846,0.07530401332774961,0.06778706488419639,0.027127454856476607,0.13894808200313724,177466,0.0,0.8999999761581421,0.0,,,,
original,123,0.01,0.6034044892787772,0.40673411912440416,0.047616277494958205,0.586870861800819,0.5483640652419208,-0.09113488812174353,0.08150366624071093,0.06789710503253066,0.02994413087713854,0.1498713734461543,177466,0.0,0.8999999761581421,0.0,,,,
original,123,0.05,0.6226574763334111,0.40192173860156266,0.08414218447689832,0.564927745433048,0.5461312047501896,-0.011550936161965675,0.1158459124659863,0.060912416884409404,0.05209687307469091,0.2034066561213702,177466,0.0,0.8500000238418579,0.0,,,,
original,123,0.1,0.6159676261855107,0.4011464033545705,0.10234711207206118,0.5541146242555317,0.5421127628353294,0.03769742386379549,0.1379773707860089,0.06642269531702127,0.05784557654149203,0.21179249385198762,177466,0.0,0.800000011920929,0.0,,,,
original,123,0.5,0.6881916321259988,0.3297800140456667,0.1749085100222128,0.5113911229528267,0.5614579000061579,0.24239340952416044,0.3310900902446936,-0.07398096778130747,0.12817044090604013,0.24686957721747727,177466,0.15000000596046448,0.25,0.0,,,,
original,123,1.0,0.5932582278982755,0.31786999687548373,0.20024297124484333,0.4970429332206394,0.5466585798063524,0.2747756551031112,0.22961617075859364,-0.005623236465823078,0.23747021597415052,0.2649760508541844,177466,0.0,0.0,0.0,,,,
original,456,0.0,0.6133745352162954,0.3025771506380407,0.5049284324255255,0.4699316047538461,0.5290198805458016,0.5695491969102531,0.5990134719325171,0.14846770304257784,0.5861384805321117,0.6214733097101683,177466,0.05000000074505806,0.8999999761581421,0.0,,,,
original,456,0.01,0.6111214117559354,0.3061129593261058,0.5002532323500584,0.47344509496697007,0.5310278003937668,0.5610057404665407,0.5957337520544415,0.14807124216913203,0.5813606993828389,0.6150947276773389,177466,0.05000000074505806,0.800000011920929,0.0,,,,
original,456,0.05,0.6341795645820996,0.30337747347671495,0.5173697443877842,0.45814313638887344,0.5269135582646484,0.5938496078052047,0.607599154618357,0.1701369618552716,0.6265764678573755,0.5886865298027119,177466,0.30000001192092896,0.30000001192092896,0.0,,,,
original,456,0.1,0.6234145717471483,0.30365322526161875,0.5057982550329709,0.46684844652168156,0.5345505948209421,0.5797260697305464,0.6107523539008172,0.16937346737052728,0.6002961396835692,0.5688432444793949,177466,0.10000000149011612,0.20000000298023224,0.0,,,,
original,456,0.5,0.5685954743512077,0.2639752057773504,0.4403063042185478,0.5172077044188536,0.5621023565364472,0.522776167642053,0.5772448036061623,0.15097599016116114,0.487772195772039,0.46276236391132275,177466,0.10000000149011612,0.05000000074505806,0.0,,,,
original,456,1.0,0.49705719001529136,0.21763318780074908,0.3711487081589754,0.5698772856023313,0.6042695483368747,0.45271687267306715,0.5161311989760814,0.1326496568581994,0.3551879960511354,0.3990578162363938,177466,0.0,0.30000001192092896,0.0,,,,
original,789,0.0,0.9061828770326967,0.5163360092851118,0.35660135466406395,0.8189767567514818,0.49803458550391627,0.4417465870206898,0.3773422093260119,0.03986158661832884,0.43941950282920705,0.4846368875260817,177466,0.25,0.05000000074505806,0.0,,,,
original,789,0.01,0.906089827449945,0.5213465369457344,0.3543219002182866,0.8212292061918751,0.5002835805845065,0.4431977140124168,0.37519820087621225,0.03789674773254792,0.43267593321903175,0.4826409052512246,177466,0.15000000596046448,0.0,0.0,,,,
original,789,0.05,0.95493185027766,0.48398647111308063,0.3838073965990387,0.7978430605405652,0.47733211036999046,0.48834576533264695,0.3956170960850809,0.049694631492555374,0.4746529330051291,0.510726557079781,177466,0.0,0.0,0.0,,,,
original,789,0.1,0.9542538960633167,0.4870550761413922,0.3849068785343779,0.7999233824789139,0.4759994972279449,0.4914602440344512,0.39769684625641044,0.04351843630933416,0.4810943278133447,0.5107645382583486,177466,0.0,0.0,0.0,,,,
original,789,0.5,0.8680572574170885,0.39927900433899877,0.3653927284336941,0.798868009817814,0.49851954106536744,0.46285872751166524,0.37892140696538246,0.07362094674972686,0.45526053640157294,0.4563020245401228,177466,0.0,0.0,0.0,,,,
original,789,1.0,0.9470599700167339,0.5181220119607833,0.4039938182847459,0.7936794424367559,0.47697862450953765,0.520380827355814,0.4217014710978868,0.031264630344821076,0.5166903781056125,0.5299317845195952,177466,0.0,0.0,0.0,,,,
original,1024,0.0,0.7196509896272085,0.16815963647362459,0.2344439330818319,0.6749052955693717,0.6698403011291617,0.2882707910755514,0.386406487197254,-0.30469801197613133,0.4088830092392073,0.3933573898732775,177466,0.25,0.05000000074505806,0.05000000074505806,,,,
original,1024,0.01,0.7195005887717401,0.16472363712209465,0.2355227903582866,0.6722576073061066,0.6706948463275427,0.2998650402777647,0.39362700300802866,-0.3245980311038952,0.4106169973814726,0.398102942228062,177466,0.25,0.05000000074505806,0.05000000074505806,,,,
original,1024,0.05,0.7230676665755811,0.17539956547825641,0.23726444897397198,0.672194941453464,0.6679522596142584,0.3010923289563623,0.3926618039784675,-0.3065799602738868,0.4015132613924387,0.3976348108164778,177466,0.0,0.15000000596046448,0.05000000074505806,,,,
original,1024,0.1,0.7189195520598461,0.1590482256001641,0.2507466715696788,0.6602968268973657,0.6670120198029423,0.31992590945745447,0.4000213427486743,-0.288289065623061,0.411095527680608,0.4109796435847175,177466,0.0,0.20000000298023224,0.05000000074505806,,,,
original,1024,0.5,0.6937131071613936,0.1778719764181989,0.27040149167281113,0.6358276497687314,0.6784273933953724,0.37310460377457977,0.4146942709144177,-0.34975476784301396,0.45983419729155894,0.454129154226513,177466,0.0,0.15000000596046448,0.05000000074505806,,,,
original,1024,1.0,0.6773962391661581,0.20235304171691,0.26557176347600475,0.6382728034692804,0.676457843075654,0.3823912549730293,0.4179163893200175,-0.38267904303875167,0.46619254531234633,0.44403767081338186,177466,0.0,0.0,0.05000000074505806,,,,
