Dataset,Seed,Arm,Train R2,Val R2,Test R2,Test MSE,Test MAE,Test R2 DCAA (ug/L),Test R2 TCAA (ug/L),Test R2 BCAA (ug/L),Test R2 HAA5 (ug/L),Test R2 HAA9 (ug/L),Params,viol_haa5,viol_haa9,viol_nonneg,Test R2 DCAA,Test R2 TCAA,Test R2 HAA5,Test R2 TTHM
original,42,mlp,0.8226778380586388,0.40267155243028807,0.2675676111181768,0.4457337650753635,0.46010843695599285,0.2533021547612464,0.2772792926848534,0.11169367611600256,0.3649557658720024,0.3306071661567792,5061,0.550000011920929,0.10000000149011612,0.0,,,,
original,42,mlp_hier,0.9173094739156914,0.3525611434117423,0.19058123760026557,0.48387551883758945,0.4762105320855329,0.23754770854415663,0.13166937528406797,0.04878068217178633,0.25906275816298185,0.27584566383833464,5061,0.0,0.0,0.0,,,,
original,42,explainable,0.36546560955562307,0.3414419365757156,0.04923677851334955,0.5628069020264252,0.6028591948196423,0.013317415042882308,0.1282945585357852,0.030482816058618467,0.06871106631255774,0.005378036616904058,177466,0.05000000074505806,0.0,0.0,,,,
original,123,mlp,0.6276408385280204,0.3444503374176889,0.11699506441306065,0.5441766952056911,0.5378953289354168,-0.008752021828723144,0.26146413859333995,0.05246124964192711,0.1273539094200441,0.15244804623871566,5061,0.3499999940395355,0.25,0.0,,,,
original,123,mlp_hier,0.6390218985736498,0.35398843318016726,0.1188781362459937,0.543312586212935,0.5402007160495914,0.002900166568954976,0.25510041265603967,0.0282343468765186,0.13872612720050537,0.16942962792794958,5061,0.10000000149011612,0.05000000074505806,0.0,,,,
original,123,explainable,0.6159676261855107,0.4011464033545705,0.10234711207206118,0.5541146242555317,0.5421127628353294,0.03769742386379549,0.1379773707860089,0.06642269531702127,0.05784557654149203,0.21179249385198762,177466,0.0,0.800000011920929,0.0,,,,
original,456,mlp,0.5876019672347781,0.29714833796624174,0.41424294893151997,0.5450905512861534,0.588488367516541,0.4435898397003787,0.4628647791912093,0.0756746016676123,0.5195887677547902,0.5694967563436091,5061,0.30000001192092896,0.20000000298023224,0.0,,,,
original,456,mlp_hier,0.5768112326842186,0.29057662094528564,0.4049729353001946,0.5526843511599574,0.5964392248168524,0.45306937027443617,0.48453109444416187,0.07105764412988602,0.49527628773986654,0.5209302799126223,5061,0.25,0.10000000149011612,0.0,,,,
original,456,explainable,0.6234145717471483,0.30365322526161875,0.5057982550329709,0.46684844652168156,0.5345505948209421,0.5797260697305464,0.6107523539008172,0.16937346737052728,0.6002961396835692,0.5688432444793949,177466,0.10000000149011612,0.20000000298023224,0.0,,,,
original,789,mlp,0.6037272248796708,0.3932908303814758,0.42642808037962004,0.7737222558938277,0.5575983243971827,0.5580634681857137,0.4706104207513997,0.04571166741736965,0.5146884942748922,0.5430663512687252,5061,0.3499999940395355,0.4000000059604645,0.0,,,,
original,789,mlp_hier,0.6007159791272093,0.40106256338707735,0.4239561523864527,0.77900079189988,0.5580874014615707,0.5663009763890683,0.4749008441738627,0.03778433013896576,0.5250765669733681,0.5157180442569986,5061,0.15000000596046448,0.15000000596046448,0.0,,,,
original,789,explainable,0.9542538960633167,0.4870550761413922,0.3849068785343779,0.7999233824789139,0.4759994972279449,0.4914602440344512,0.39769684625641044,0.04351843630933416,0.4810943278133447,0.5107645382583486,177466,0.0,0.0,0.0,,,,
original,1024,mlp,0.605006282724438,0.5680107494476895,0.37383586909821603,0.5624618501937262,0.5932785463930379,0.4276986135775468,0.3802691341808795,2.766455104341592e-05,0.5577297582107817,0.5034541749708283,5061,0.30000001192092896,0.3499999940395355,0.0,,,,
