Protocol,Fold,Model,Train R2,Val R2,Test R2,Test MSE,Test MAE,Test R2 DCAA,Test R2 TCAA,Test R2 HAA5,Test R2 TTHM,Params
random,42,Random Forest,0.948169229951781,0.5392986316592441,0.5872978261417426,0.35410144151973577,0.3851669342604219,0.6212681079611907,0.5417521659076623,0.5845691794023273,0.6016018512957898,
random,42,Support Vector Regression,0.7803878825779093,0.5424825210994049,0.6858525682760719,0.2703870481721883,0.34379345631360336,0.6689250653591142,0.6805517958511915,0.7428758175234845,0.651057594370497,
random,42,XGBoost,0.942246748537873,0.6040372635905036,0.6311059950432558,0.31940486844938276,0.38283269009294707,0.5982669637256516,0.612719299520548,0.645598080713039,0.6678396362137846,
random,42,TabNet,0.5218327930402606,0.5284658583424604,0.5062366768317631,0.4277945294192681,0.5010217042666643,0.4634851094608017,0.5302272770691208,0.5087555750663251,0.5224787457308046,6126.0
random,42,Multi-task MLP,0.6144538973839658,0.31355295442915104,0.6536962207310901,0.29788092686242773,0.3893471140774761,0.627621201216979,0.6254507102817962,0.7424437653977154,0.61926920602787,4932.0
random,42,Explainable Model,0.8869711820346718,0.5253698691916611,0.6878272375925243,0.2670143137992996,0.3588674631600237,0.7076359769890144,0.6600214102714944,0.7350278234759501,0.6486237396336382,134985.0
random,123,Random Forest,0.9449033821519858,0.2291689885636769,0.6462802084553025,0.27402799048984705,0.3666357357974708,0.6863955310602794,0.5320348019410414,0.7278250259175747,0.6388654749023149,
random,123,Support Vector Regression,0.7553501097612801,0.36576966969371083,0.6769564381087165,0.2566364129082609,0.3506581119613996,0.6666363166620537,0.6918466860039543,0.7378377514567622,0.6115049983120961,
random,123,XGBoost,0.9974575177125784,0.4284492984370679,0.4821722189111435,0.3985235143733406,0.4429740368340413,0.5490328943915137,0.5126082245075817,0.5879344483541717,0.2791133083913069,
random,123,TabNet,0.8143043988928464,0.6490725435249887,0.6535791049118399,0.274101849408729,0.3685272741243518,0.6521786784697733,0.6555122608517778,0.7166883579957142,0.5899371223300944,6126.0
random,123,Multi-task MLP,0.3350676220252969,0.04678642006742445,0.34364540477110805,0.5156968903840791,0.5995675916218728,0.42998027227623103,0.25388387077047103,0.3382707603370162,0.3524467157007144,4932.0
random,123,Explainable Model,0.838697667306715,0.2953937149200404,0.7140241631668336,0.22410312356692802,0.33585760456721436,0.7156651257021653,0.6737088556657236,0.8001260996087081,0.6665965716907374,134985.0
random,456,Random Forest,0.8920785658245158,0.6938761809463272,0.5293376664655587,0.9350165299148092,0.6244087193094949,0.46750022699172133,0.5557438335252012,0.5226622467686327,0.5714443585766793,
random,456,Support Vector Regression,0.8997151818113804,0.33889260675355637,0.5292502150969796,0.9320923605498955,0.6518272023479104,0.5404294982326954,0.479946699457394,0.5472049475955136,0.549419715102315,
random,456,XGBoost,0.9838093454850858,0.5876526476215291,0.6174902643880795,0.7631921721327735,0.5845853038748142,0.6127784276960702,0.5289362684285724,0.6540291980597525,0.6742171633679231,
random,456,TabNet,0.6681549563596206,0.4945931457635544,0.3840266746800432,1.2224856064710234,0.6575729904465115,0.37593996933101925,0.3376783899133935,0.3917120759727942,0.4307762635029663,6126.0
random,456,Multi-task MLP,0.6008502394140429,0.6906853277405822,0.5354281013262849,0.9128063984031892,0.6460648673811455,0.5779012487794732,0.49978214586292036,0.5583763244451725,0.5056526862175736,4932.0
random,456,Explainable Model,0.6610359630065104,0.6788265096869379,0.5857004887160726,0.8118041697598312,0.5953723449819373,0.5977310298187759,0.5806932133268778,0.621586650991903,0.542791060726734,134985.0
random,789,Random Forest,0.9357555208495162,0.3242378366564532,0.5908435308058352,0.2734692938319672,0.3523207315310423,0.6990710645148978,0.479823143832791,0.6368492060567904,0.5476307088188614,
