,mean,mean,mean,mean,mean,std,std,std,std,std,rank,rank,rank,rank,rank
,DCAA,TCAA,HAA5,TTHM,Overall,DCAA,TCAA,HAA5,TTHM,Overall,DCAA,TCAA,HAA5,TTHM,Overall
Model,,,,,,,,,,,,,,,
CatBoost,0.5885306011245475,0.5810610444444577,0.6380932140993407,0.6036224237112287,0.6028268208448937,0.079655787943808,0.07467329024235086,0.0870189816666946,0.07985362332272504,0.07142175104167735,2,1,1,1,1
Extra Trees,0.5917116944247448,0.5716153426798246,0.6361721006451752,0.5812470730078058,0.5951865526893876,0.10047594039802005,0.06854555143787465,0.08598700239034206,0.07379225715882894,0.07115424299110204,1,2,2,2,2
Random Forest+chem,0.5662877426731266,0.5543751474783104,0.6179412404638488,0.578063504348675,0.5791669087409902,0.11226204210169892,0.07471786026513226,0.09281502998388799,0.08375879102474505,0.07042325749099246,5,7,4,3,3
Random Forest,0.5657312744321567,0.5576749570998702,0.6134538544744428,0.572340136718579,0.5773000556812622,0.1172159309302262,0.08941235982818123,0.09701538210520211,0.06935828945678488,0.07690041013215428,6,6,5,4,4
Explainable Model,0.5724352158956304,0.5631353899686491,0.6303695201001361,0.5250485315142683,0.572747164369671,0.10798337291197256,0.08372721170302759,0.1043969882681823,0.09585377233691887,0.09271728394116073,3,3,3,11,5
Elastic Net,0.5545486512123994,0.5618690510722927,0.6081176118754545,0.550140734030375,0.5686690120476304,0.10109528295844535,0.06087068563764598,0.09009354847704185,0.08964382832317906,0.08159622029401437,8,4,6,7,6
Lasso Regression,0.5457517523619395,0.5579420539372218,0.6011523436544662,0.544479751724025,0.5623314754194131,0.11629872060684027,0.05921928114207257,0.09433356378698776,0.09589212678426157,0.08746157125937558,12,5,9,8,7
Ridge Regression,0.5671997517582892,0.5513565828592648,0.6024969863057567,0.5197573513035675,0.5602026680567195,0.11304234479255793,0.07574589914926202,0.10430704516216617,0.09845400429449343,0.0921465418883954,4,8,8,12,8
K-Nearest Neighbors,0.5604260741562456,0.5318619585563275,0.5918589263333919,0.5048304197855932,0.5472443447078895,0.11511233995871441,0.13006709977964573,0.1242486778200457,0.1217253898150313,0.1155648904452698,7,10,10,14,9
Gradient Boosting,0.5318069269732019,0.5016081102276388,0.5887679864728279,0.5642055229202907,0.5465971366484899,0.1387025804594729,0.13210189207223097,0.09115121348788616,0.07257403822931291,0.09011465084081095,13,15,12,5,10
Linear Regression,0.5540981993147266,0.5362439572066441,0.5895798046282327,0.4970692402022269,0.5442478003379576,0.13508456897360002,0.08925986830753607,0.11937145182246546,0.11685244531135523,0.10749929570008646,9,9,11,15,11
XGBoost,0.5145134889741537,0.5119574414600242,0.6046480250475244,0.5414286574472164,0.5431369032322297,0.10785235401060295,0.14184544090400222,0.08432890943757629,0.13438734372140923,0.09741528106078613,15,13,7,9,12
LightGBM,0.5473522796331377,0.4868201446458735,0.5835601063813536,0.5538407228985751,0.542893313389735,0.10780542667399678,0.11386786758564665,0.09345250382365027,0.06929794122125847,0.07901625905132378,11,18,13,6,13
Ridge Regression+chem,0.5491162555641128,0.5147117773662404,0.5734179828329207,0.4841266259552036,0.5303431604296194,0.12377929319460666,0.11884715374040254,0.12625864332740688,0.12855858780808596,0.11422816417107003,10,12,14,16,14
Support Vector Regression,0.5089836707445846,0.5109635026974775,0.5597426348953153,0.5252100244017004,0.5262249581847694,0.16157964384969634,0.14711291368337187,0.14570040745751356,0.0817833580775976,0.1272317120625232,17,14,15,10,15
Support Vector Regression+chem,0.5130038097495969,0.48994675434723434,0.5550845044782409,0.5122735471702592,0.5175771539363329,0.12235298098162611,0.1186742426170814,0.11647420664587171,0.0834333229205654,0.10316141596948775,16,17,16,13,16
TabNet,0.46442273237978704,0.5259196563952294,0.5381012282857098,0.4746070787703037,0.5007626739577575,0.11208199203313217,0.09230830345933835,0.12286603522008575,0.11338600802111105,0.10577142214347932,18,11,18,17,17
Multi-task MLP,0.5212910858285056,0.49728633736553085,0.5390319277203635,0.4422657160134012,0.49996876673195023,0.07786923676895685,0.11495322235126118,0.11917398445292557,0.10470084425940177,0.09369946387433134,14,16,17,19,18
Decision Tree,0.37732354003199087,0.4539135033084449,0.5065614838357106,0.45859462168022286,0.4490982872140924,0.11416831845014377,0.1936813417870325,0.14864897023187273,0.15382970443170388,0.10673684630964043,19,19,19,18,19
