,mean,mean,mean,mean,mean,mean,std,std,std,std,std,std,rank,rank,rank,rank,rank,rank
,DCAA,TCAA,BCAA,HAA5,HAA9,Overall,DCAA,TCAA,BCAA,HAA5,HAA9,Overall,DCAA,TCAA,BCAA,HAA5,HAA9,Overall
Model,,,,,,,,,,,,,,,,,,
Support Vector Regression,0.47888113199868265,0.45861063672890506,0.08765321908638163,0.4876737430124183,0.49497694991766783,0.4015591361488111,0.09117803004961107,0.11355611858180194,0.12645085737464792,0.09452400552693078,0.08675500107245661,0.07964983128028567,1,1,2,1,1,1
Support Vector Regression+chem,0.44929622441387485,0.42081262968624333,0.1307084327284421,0.4534737251784885,0.46564466617360295,0.3839871356361303,0.10421503315853504,0.1627567512826785,0.1373664613155962,0.12177134568717551,0.104255905252119,0.09167588115016596,2,2,1,2,2,2
Extra Trees,0.37051655428624264,0.39737544101852046,0.04585647208746983,0.4160470885811688,0.44373319803563793,0.33470575080180787,0.17408052491871953,0.1426040536900275,0.23499058182537214,0.14218644882936718,0.15635665123194092,0.13722475705148135,4,3,4,4,3,3
Multi-task MLP,0.38137212876934046,0.3612345582890532,0.0176844188159759,0.4213860671519483,0.42571712040120036,0.32147885868550363,0.19921897233963295,0.23031473542084652,0.15971698963607264,0.2034079168626633,0.20746109819716166,0.1547015999981002,3,6,5,3,4,4
CatBoost,0.255846961315518,0.39595866608332264,0.07425996367788171,0.3905839426131278,0.41171471386266767,0.30567284951050355,0.20176389152120014,0.12390993416474483,0.23221314534669263,0.14667123470381832,0.13932556427334675,0.13176280193141157,10,4,3,7,7,5
Explainable Model,0.34168343626680425,0.35304125907018713,-0.004726593226042589,0.3790986241562124,0.38483822915379406,0.29078699108419104,0.21421713356543967,0.21851733780975535,0.1426142865006585,0.22485453482427195,0.2329692478472231,0.17182346393355225,5,8,7,8,8,6
K-Nearest Neighbors,0.31097409922328356,0.34390323814982054,0.008779394363648631,0.3484155217805493,0.3638340843741705,0.27518126757829453,0.24938123445150892,0.23154193735293166,0.13128111717823457,0.2440653647399069,0.2280690424270383,0.17824076641295675,6,9,6,10,9,7
Random Forest,0.30673147939830986,0.3700036328516666,-0.13433297858436535,0.40083653073979003,0.41994332635644793,0.2726363981523698,0.14583307318496833,0.13971277278644578,0.2740312416163682,0.1151206173437477,0.1158189229972412,0.11503122173605138,7,5,12,5,5,8
Random Forest+chem,0.29253416870171073,0.35556855694137995,-0.12473131915417554,0.3931606685943515,0.4142980099077567,0.26616601699820464,0.134130924259652,0.13394269761770805,0.29444416111039,0.11250623265354777,0.10933128349669875,0.11676354122814461,8,7,11,6,6,9
Gradient Boosting,0.26816713003796944,0.3132067184817097,-0.15526522295476403,0.3494176699746849,0.3616991688794033,0.22744509288380063,0.24192732991364693,0.17400873685653012,0.5570027870403743,0.1821160433155626,0.17226601085189067,0.19652365966314808,9,10,14,9,10,10
XGBoost,0.09757523601470494,0.22024734500486814,-0.21461830651447178,0.23476436274878748,0.2743433057321826,0.12246238859721426,0.31985310778932535,0.23112089898243632,0.38672056640465613,0.22423171724450738,0.19275824199625421,0.16396647308708814,11,11,15,11,11,11
LightGBM,0.09471351431768626,0.10890449642175651,-0.24357601388802008,0.15756610998165063,0.18231670060018096,0.059984961486650855,0.362919258527704,0.33779079971499276,0.466864638663256,0.32067083767115706,0.3013338780051477,0.25170817264882145,12,12,16,12,12,12
Ridge Regression,-0.08576523390645965,0.07418096252097836,-0.05110328467179803,0.0010185823289788453,0.10456440029773773,0.008579085313887496,1.2647078821872075,0.9293386890094887,0.12266845675155391,1.1876610130931957,0.9749107148780588,0.859919653690144,14,14,9,14,14,13
Ridge Regression+chem,-0.08994908157466357,0.08480645118065168,-0.08034382425876888,0.00775657713430028,0.11028606045937424,0.006511236588178754,1.218509914032753,0.8791559287387924,0.19673133189478736,1.1328531249068494,0.9250874443720889,0.8196765562056892,15,13,10,13,13,14
TabNet,-0.049296349473702025,0.04735292835785113,-0.3264438389332549,-0.03337483233615256,0.05341958233129264,-0.0616685020107932,0.3231776140502375,0.47870147344309977,0.628175453990676,0.44265322734930546,0.3235630051465493,0.3180786598716587,13,15,18,15,16,15
Elastic Net,-0.276932480361554,-0.031198328773436756,-0.04840888220791746,-0.16074398599857964,-0.02156383708313995,-0.10776950288492562,1.4998287629401028,1.0677112553767167,0.093885713665396,1.4401862469959108,1.1583714483523482,1.0214974378462618,17,17,8,17,18,16
Lasso Regression,-0.26702829157218416,-0.03764527298056915,-0.14103276423121985,-0.16106237598210263,-0.01816138162143497,-0.1249860172775022,1.4747420130396698,1.0553549740680255,0.28929509648444324,1.412984761817897,1.1316962288615664,1.0018147232801322,16,18,13,18,17,17
Decision Tree,-0.3510156504854551,-0.004006964065123103,-0.38264374000383816,-0.0906315310880607,0.10291295170194273,-0.14507698678810682,0.625541231041285,0.3132535581845924,0.7142986144927644,0.32969915564460306,0.24998710301087748,0.27155032502336435,18,16,19,16,15,18
Linear Regression,-0.48974054141647533,-0.2559192593084729,-0.2637383748921144,-0.36229628575403927,-0.20602608891675328,-0.31554411005757105,1.9204428204664057,1.436650663703878,0.38662130718072074,1.8220973968061478,1.4897131544792035,1.3145269409468519,19,19,17,19,19,19
