Dataset,Seed,Arm,Train R2,Val R2,Test R2,Test MSE,Test MAE,Test R2 DCAA (ug/L),Test R2 TCAA (ug/L),Test R2 BCAA (ug/L),Test R2 HAA5 (ug/L),Test R2 HAA9 (ug/L),Params,Best epoch,Train-Test gap,Test R2 DCAA,Test R2 TCAA,Test R2 HAA5,Test R2 TTHM
original,42,default,0.36546560955562307,0.3414419365757156,0.04923677851334955,0.5628069020264252,0.6028591948196423,0.013317415042882308,0.1282945585357852,0.030482816058618467,0.06871106631255774,0.005378036616904058,177466,15,0.3162288310422735,,,,
original,42,wd_1e-4,0.36451389089433917,0.34000439044155045,0.04776024415721343,0.5636366691115933,0.6032264411643279,0.013073752306682396,0.12867241713413846,0.02910082300478023,0.06445572498379537,0.003498503356670346,177466,15,0.31675364673712575,,,,
original,42,wd_1e-3,0.37187185036018033,0.309956358404676,0.028356624840669385,0.5737173015179643,0.6092649890676272,0.0004558040942296282,0.10100077186330969,0.01603070916371563,0.03885502279828501,-0.014559183716192914,177466,16,0.34351522551951097,,,,
original,42,dropout_0.3,0.6284100765641378,0.28378119559666737,0.290936110680306,0.45222169550681357,0.47438519753726727,0.1224121869890713,0.5039867482985616,0.07614637921192247,0.3777351595253582,0.37440007937661646,177466,30,0.33747396588383183,,,,
original,42,dropout_0.5,0.5982138899577253,0.2878494758066572,0.24863554076850605,0.4688605339593762,0.5171488804614767,0.16249022948197656,0.4427610509997627,0.06403851385470172,0.3017347212689223,0.27215318823716705,177466,47,0.34957834918921926,,,,
original,42,capacity_16,0.22572369615438886,0.06418895680816761,0.04052123488296626,0.567242570740683,0.6262916104503107,0.0049935624780279575,0.12301629531020086,0.026378919164167236,0.01246276742174679,0.03575463004068846,44930,27,0.1852024612714226,,,,
original,42,capacity_8,0.4630171485316826,0.15337535901109411,0.15012564572878145,0.52353990795358,0.5562819230911622,-0.009152545251449151,0.3607609617581443,0.039986017056409695,0.20156254129905182,0.1574712537817502,11518,68,0.3128915028029011,,,,
original,42,strong_reg,0.5922353711668469,0.13992448750125797,0.1853485831972531,0.49381732579774446,0.5415011219140825,0.12430055678409113,0.36780850319698344,0.09684835614182008,0.08986717341617301,0.2479183264471978,44930,59,0.40688678796959377,,,,
original,123,default,0.6159676261855107,0.4011464033545705,0.10234711207206118,0.5541146242555317,0.5421127628353294,0.03769742386379549,0.1379773707860089,0.06642269531702127,0.05784557654149203,0.21179249385198762,177466,28,0.5136205141134496,,,,
original,123,wd_1e-4,0.6320982787432022,0.3978618235648559,0.10649629805228637,0.5516984413009368,0.5505984456909723,0.04889525263255812,0.14067609571661588,0.051448224242265694,0.06379866611617857,0.22766325155381306,177466,29,0.5256019806909159,,,,
