Dataset,Arm,N_seeds,Params,Train R2 Mean,Train R2 Std,Val R2 Mean,Val R2 Std,Test R2 Mean,Test R2 Std,Train-Test gap Mean,Train-Test gap Std,Best epoch Mean,Best epoch Std,Delta Test R2 vs default,p_value_paired_t
ontario,default,10,134985,0.7178224979311821,0.11618241674804235,0.5284631123917668,0.15437861347841017,0.5727471643696711,0.09271728394116072,0.1450753335615111,0.10288132378281421,63.6,59.407406945598964,,
ontario,wd_1e-4,10,134985,0.7236500253345692,0.11448217409678664,0.5312903510006028,0.15606146873340973,0.5750444233108047,0.09366297500228701,0.14860560202376444,0.10047895834130541,65.6,58.46400602079881,0.0022972589411336397,0.3182698857821647
ontario,wd_1e-3,10,134985,0.7098128291549937,0.11251507109985985,0.5271383772764722,0.16297899516864922,0.5751385896888922,0.09274251555552987,0.1346742394661015,0.09745498930418124,86.0,101.33015345887915,0.0023914253192210966,0.7142082213837408
ontario,dropout_0.3,10,134985,0.6860174892059375,0.09860430612309798,0.5142903268762715,0.14842564489508245,0.5798910025109703,0.09176741610571659,0.10612648669496738,0.10575823977812032,120.9,232.7730439720201,0.0071438381412991525,0.38366447075507903
ontario,dropout_0.5,10,134985,0.6738808495712683,0.08246710132851012,0.5022834786169599,0.15120413008006903,0.5829507970022045,0.05898138033377693,0.09093005256906364,0.09480409999825251,92.2,112.59555941510304,0.010203632632533433,0.4658067688131612
ontario,capacity_16,10,34217,0.6670009474873744,0.13142274726601239,0.5124864154728824,0.14317970910380265,0.5595034382620767,0.0708080434273827,0.1074975092252978,0.10860932161616622,86.6,91.02109645571186,-0.013243726107594389,0.5299019930431443
ontario,capacity_8,10,8793,0.6701814673807831,0.09669886141034213,0.5091126253459104,0.13209077564503052,0.5696338080924965,0.06635192687344273,0.10054765928828671,0.08172026142936831,137.6,100.45018665985644,-0.0031133562771745726,0.8738780132185241
ontario,strong_reg,10,34217,0.6434487996926735,0.08638814217862187,0.4834418181163122,0.13913778833257753,0.5746699097314999,0.08149049292851603,0.0687788899611737,0.0794333166617645,80.9,60.69176220872154,0.0019227453618287926,0.924983064683434
original,default,10,177466,0.6999251749780278,0.19512728148306974,0.33655332918413416,0.15480417312256525,0.2907869910841911,0.17182346393355222,0.4091381838938366,0.21651724682940343,63.9,61.863478725335185,,
original,wd_1e-4,10,177466,0.6898572811330361,0.18511726520453894,0.3310182104991198,0.1534423282216477,0.2884111053604028,0.1662862059981153,0.4014461757726333,0.2108368246099671,76.7,109.28956949315887,-0.0023758857237882736,0.6914706763240359
original,wd_1e-3,10,177466,0.6611546778993667,0.15339378774165655,0.3221760071724079,0.14314642141619036,0.28447338055627525,0.1674927771310436,0.3766812973430914,0.19414234841167327,44.3,25.04815362456882,-0.006313610527915847,0.47143555681171245
original,dropout_0.3,10,177466,0.6611287353946188,0.12589078317029767,0.3308297183034545,0.14509496776536884,0.34013533731372647,0.13343064493239357,0.32099339808089233,0.15121880316904796,57.7,41.148633027112815,0.04934834622953538,0.17409980862992805
original,dropout_0.5,10,177466,0.5862435456105687,0.16535659268042735,0.3430189165222865,0.1562566182545006,0.3079102481341943,0.12329304112517293,0.27833329747637436,0.160992910106036,66.3,36.15812495138541,0.017123257050003227,0.7045812817868975
original,capacity_16,10,44930,0.5832758460774091,0.21172341360979932,0.24319574633068633,0.2292981123221984,0.26321447468020837,0.17359830806012533,0.32006137139720076,0.13670692825752292,71.0,52.283840715846424,-0.027572516403982728,0.5087977911489201
original,capacity_8,10,11518,0.42208357093088394,0.1439588044619479,0.15884157103725627,0.20583511842712465,0.20544809311482162,0.16622881382841007,0.21663547781606232,0.16072890987759414,84.4,34.58959381085589,-0.08533889796936947,0.08574474220279521
original,strong_reg,10,44930,0.588403866552477,0.15913719511999033,0.25341911344727236,0.21810085296281076,0.27567397572228713,0.1426209284315359,0.3127298908301899,0.11943607268554729,81.8,45.16591635293145,-0.015113015361903959,0.7457310389618502
