Dataset,Seed,Scaler,Model,Train R2,Val R2,Test R2,Test MSE,Test MAE,Test R2 DCAA (ug/L),Test R2 TCAA (ug/L),Test R2 BCAA (ug/L),Test R2 HAA5 (ug/L),Test R2 HAA9 (ug/L),Params,Test R2 DCAA,Test R2 TCAA,Test R2 HAA5,Test R2 TTHM
original,42,zscore,Explainable Model,0.36546560955562307,0.3414419365757156,0.04923677851334955,0.5628069020264252,0.6028591948196423,0.013317415042882308,0.1282945585357852,0.030482816058618467,0.06871106631255774,0.005378036616904058,177466.0,,,,
original,42,zscore,SVR,0.7807873398523174,0.46098159958226476,0.28555202001126084,0.42931451496481293,0.45590252720696994,0.3491170315374992,0.2567194018248361,0.1332854866926766,0.3448376584893369,0.3438005215119554,,,,,
original,42,robust,Explainable Model,0.9663173508298252,0.6520140399414535,-0.07191989579652155,0.49211243029672147,0.3562791397583691,0.21955663588889207,0.28836941662172366,-1.453453842666649,0.35098645188074706,0.2349418592926793,177466.0,,,,
original,42,robust,SVR,0.7460836669421946,0.36371406292279707,0.27069864536353966,0.24811181101167984,0.3496435681407807,0.30522221560570395,0.17456249052706574,0.18115132582948845,0.3508446024502361,0.34171259240520446,,,,,
original,42,minmax,Explainable Model,0.39213280771544934,-0.052350148234031633,-0.07807770699372418,0.041206406413681,0.1645520260426326,-0.08231738153583623,0.017401623535311828,-0.04110614737740503,-0.10379997270986774,-0.18056665688082396,177466.0,,,,
original,42,minmax,SVR,0.7237190991346588,0.23087659941760794,-0.004188598534302157,0.03680628853843558,0.15751142681835711,0.13329261748476928,-0.2669537925163543,-0.07676818398401686,0.026131370484411276,0.16335499585968027,,,,,
original,123,zscore,Explainable Model,0.6159676261855107,0.4011464033545705,0.10234711207206118,0.5541146242555317,0.5421127628353294,0.03769742386379549,0.1379773707860089,0.06642269531702127,0.05784557654149203,0.21179249385198762,177466.0,,,,
original,123,zscore,SVR,0.7408537595276543,0.48206480662700235,0.3714323353896577,0.3915672468718564,0.46396032675878357,0.4548946392758867,0.3999318821786543,0.11955828020934389,0.4449640678519946,0.4378128074324089,,,,,
original,123,robust,Explainable Model,0.6092601615949016,0.3456561270394447,0.17907504343028774,0.8281770005428364,0.5803189814614664,0.19650620056291634,0.1805831405879046,0.11152723843501011,0.1471978156188436,0.259560821946764,177466.0,,,,
original,123,robust,SVR,0.6414024003792382,0.39824775592409467,0.2889319769708825,0.8868146709752999,0.4888472746208623,0.3772949178976681,0.3575966920412996,-0.04045690797880508,0.36565682388921783,0.3845683590050324,,,,,
original,123,minmax,Explainable Model,0.7492170393866234,0.3359801542946335,0.033639327794649176,0.03654936832545282,0.14479349494480628,0.012281683898777151,0.12607461000048492,-0.13306177877543557,0.09643545661378516,0.06646666723563421,177466.0,,,,
original,123,minmax,SVR,0.7342715490263128,-0.6604200206386153,-0.020440314829308547,0.038845182723366435,0.1438665133628782,-0.16960075929555685,0.0651000333585019,-0.1163796887086408,0.06587382494147453,0.0528050155576788,,,,,
original,456,zscore,Explainable Model,0.6234145717471483,0.30365322526161875,0.5057982550329709,0.46684844652168156,0.5345505948209421,0.5797260697305464,0.6107523539008172,0.16937346737052728,0.6002961396835692,0.5688432444793949,177466.0,,,,
