Dataset,Model,Scaler,N_seeds,Test R2 Mean,Test R2 Std,Delta vs zscore,p_vs_zscore
ontario,Explainable Model,zscore,10,0.5727471643696711,0.09271728394116072,,
ontario,Explainable Model,robust,10,0.545656363096164,0.10384978896363149,-0.027090801273506892,0.19445955681976024
ontario,Explainable Model,minmax,10,0.532068683525168,0.12018387863189527,-0.040678480844503005,0.24077634169036335
ontario,SVR,zscore,10,0.5262249581847696,0.1272317120625232,,
ontario,SVR,robust,10,0.5370189804744072,0.13219493294820261,0.010794022289637734,0.7771567203225562
ontario,SVR,minmax,10,0.5050862571196709,0.17277371824482404,-0.02113870106509852,0.630502050330946
original,Explainable Model,zscore,10,0.2907869910841911,0.17182346393355222,,
original,Explainable Model,robust,10,0.21369525234822606,0.19226330555373758,-0.07709173873596502,0.23108201400599732
original,Explainable Model,minmax,10,0.19304673642736034,0.20175885850453348,-0.09774025465683073,0.1253892317658121
original,SVR,zscore,10,0.4015591361488111,0.07964983128028566,,
original,SVR,robust,10,0.32525271156126273,0.11027723930304663,-0.07630642458754841,0.036348225504264614
original,SVR,minmax,10,0.20681170839952873,0.3560451289224635,-0.1947474277492824,0.08045364619821527
