Model,N_seeds,Train R² Mean,Train R² Std,Test R² Mean,Test R² Std,Train MSE Mean,Train MSE Std,Test MSE Mean,Test MSE Std,Train MAE Mean,Train MAE Std,Test MAE Mean,Test MAE Std
TabNet,5,0.7236842811208413,0.061775471158990056,0.66792919349281,0.05613773452367994,0.27631571887915873,0.061775471158990077,0.3724116787317525,0.17294508143743081,0.3571849082410073,0.02980368050710861,0.41504398915113283,0.09313893371038239
Extra Trees,5,1.0,0.0,0.629156604829789,0.04446240271133685,1.96442616132297e-30,2.3570182199745215e-31,0.4181049642216233,0.19391569991028998,9.966770194336044e-16,6.965474909494336e-17,0.4198542284716974,0.08171412520919624
Random Forest,5,0.9446908841391902,0.003476873272564404,0.6168661960322279,0.05678526793119057,0.055309115860809735,0.0034768732725643666,0.43761670216698895,0.22370204088161022,0.15360298533879307,0.005159541630736193,0.42980658585167786,0.10080099720447865
K-Nearest Neighbors,5,0.7086623284916586,0.009583553189493428,0.6070101467947966,0.09427292618485662,0.2913376715083413,0.009583553189493402,0.44960202078445377,0.24613650015991992,0.3618455270342443,0.011394813797950331,0.449909849688187,0.11516895428315807
Support Vector Regression,5,0.7867861056055622,0.011061891126820163,0.6020068147898058,0.06372516558694946,0.2132138943944378,0.011061891126820154,0.45364134755790336,0.219559816912782,0.286566440702802,0.011577588125819577,0.4434490821681473,0.10147357668208934
Elastic Net,5,0.5950522837978053,0.02995923194122635,0.5992357727690122,0.06178554840800805,0.4049477162021947,0.029959231941226343,0.45883603588471944,0.22370245716311013,0.44244274473153744,0.016595677460991456,0.45981369647641834,0.0924230503923377
Explainable Model,5,0.9562849321677108,0.008360231946179013,0.596413731470906,0.0659950721819174,0.04371506783228933,0.008360231946179013,0.4332547617720654,0.15925542580697022,0.14372350382756677,0.009840905814238587,0.43888130842176115,0.07914734946448411
Ridge Regression,5,0.611124847735353,0.029744568929314034,0.5955160972135429,0.057836667546756294,0.3888751522646469,0.029744568929314,0.4558552256044541,0.2105032361401827,0.4381778935184541,0.017116748958685396,0.4670614890657759,0.08723458471184774
Linear Regression,5,0.6111708073933488,0.029741319353391124,0.5945188209230994,0.0570508121226767,0.38882919260665105,0.02974131935339112,0.4563367629220739,0.20909619697381224,0.43846133059841164,0.017090691909367385,0.467952361823189,0.08642768290498305
Lasso Regression,5,0.5781525633875778,0.028243773056356763,0.5858645621518778,0.059312511288420085,0.4218474366124223,0.028243773056356686,0.47389079831933695,0.22918197639278168,0.4511849395818091,0.016188265538107517,0.4670060464527207,0.09159754838860182
Gradient Boosting,5,0.9836719830863494,0.001949894002028777,0.5732163017639448,0.06999998438969429,0.016328016913650607,0.0019498940020287504,0.4665656113793866,0.19534532200284163,0.09435395466596479,0.005595505950888709,0.44939542952930067,0.07926603811952773
KAN Model,5,0.6844606116282849,0.06514828952276003,0.5220810209299043,0.07550897708398163,0.3155393883717152,0.06514828952276006,0.5528408462724954,0.30600827358529387,0.40656358267128123,0.03332678977233234,0.5104281231099612,0.11549176272240758
Neural Network,5,0.9745915637452403,0.015074780030312998,0.43322447754540605,0.03762361487316345,0.02540843625475993,0.015074780030312972,0.6265333413070178,0.2632249820547981,0.10974419005963938,0.03199121625025509,0.5421602326793006,0.12028910727947416
Decision Tree,5,1.0,0.0,0.328943579328995,0.07758967359924049,2.4449838507106155e-33,2.782493299492882e-33,0.7129843920172961,0.24162241589622674,8.463175515585208e-18,7.561101424617691e-18,0.5553475178251528,0.09030976245922792
