Model,N_seeds,Train R² Mean,Train R² Std,Test R² Mean,Test R² Std,Train MSE Mean,Train MSE Std,Test MSE Mean,Test MSE Std,Train MAE Mean,Train MAE Std,Test MAE Mean,Test MAE Std
Support Vector Regression,5,0.7370046305852334,0.03345151802644,0.4822411766443858,0.052628132607131804,0.26299536941476653,0.03345151802644,0.48500498060060443,0.1740097683127776,0.2902121035709977,0.01870171218681979,0.46006813502270827,0.032185990771658804
TabNet,5,0.5695150760602912,0.24581252671909007,0.3823075975868618,0.12528764766587344,0.4304849239397087,0.24581252671908996,0.5416563001698332,0.12043079412718771,0.45292929369803236,0.11392238544756378,0.5131701206788941,0.027772760268610468
Extra Trees,5,1.0,0.0,0.3280200405924582,0.0860301552513496,2.1239445069941517e-30,1.331758204897865e-31,0.6023492437227931,0.18794831886075844,9.579369302623405e-16,1.4983770579804678e-17,0.5132887111625053,0.05960954411536441
Elastic Net,5,0.5422783315549652,0.022011499650634925,0.2565004308576997,0.09372967753563015,0.4577216684450348,0.022011499650634973,0.6577812479997928,0.20204320486483113,0.5066450017226047,0.013935714015727822,0.6013045246886584,0.061528126902100716
Random Forest,5,0.9175528918511977,0.007557792220067786,0.22621462479480123,0.09738062755694052,0.08244710814880234,0.0075577922200677616,0.6787733164314357,0.18849447976759928,0.20607007894652196,0.014091610997875785,0.5778325655457122,0.06867435898592117
Explainable Model,5,0.9922419692084711,0.001658054152255318,0.21849203592862615,0.2184386991033319,0.007758030791529006,0.001658054152255308,0.7568308030173655,0.3146138817119788,0.06733337714727751,0.007514804374514774,0.5159827839695399,0.09973919647702571
Lasso Regression,5,0.4950523919490413,0.021179629053699307,0.21298278339504434,0.09908962093312995,0.5049476080509587,0.021179629053699307,0.6918699803941676,0.21574334004317902,0.5273142748467674,0.01361635671287893,0.6125581872611437,0.06481983653071935
Neural Network,5,0.9950562244917227,0.001912126696746233,0.1668947206212618,0.21519483405656212,0.004943775508277373,0.001912126696746238,0.7436883822606078,0.2449342666617946,0.05079644615647723,0.009309919303630326,0.5558602382137153,0.08362899793332611
Ridge Regression,5,0.582045064047419,0.024379647587919898,0.16196618582188507,0.15232821495305396,0.41795493595258104,0.02437964758791986,0.7453962558393294,0.22901436674796075,0.492275449818042,0.01751074960043327,0.6335481959722837,0.06504029622681112
Gradient Boosting,5,0.9994587517052077,0.0001988288001406406,0.156940670989054,0.24252226321912007,0.0005412482947923844,0.0001988288001406833,0.7126489844986952,0.1949226763136275,0.017196410094996253,0.003314292528232027,0.5468312053987917,0.07331280292699979
K-Nearest Neighbors,5,0.5811195547676734,0.03166400699711104,0.1473565161519271,0.13263242960249333,0.4188804452323267,0.03166400699711102,0.7366950453349164,0.2033061498521959,0.4960784096531075,0.018131962655363525,0.6427788527565131,0.07927813119080089
Linear Regression,5,0.5830205077924693,0.02458868179699584,0.12333269988757282,0.18728381143062575,0.4169794922075306,0.02458868179699585,0.781140148650434,0.2624222697526585,0.4921684440457869,0.01767587820236564,0.6429811965408468,0.07094261601981271
Decision Tree,5,1.0,0.0,-0.21931724304165146,0.22474329473785853,0.0,0.0,1.0435188441827161,0.2601150522763487,0.0,0.0,0.6533646455203627,0.10108419467020476
KAN Model,5,0.6987407092418563,0.10387130914376141,-0.4657086333891122,0.6312427087201291,0.3012592907581437,0.10387130914376143,1.3229746449516622,0.5686332788517019,0.38838100568080713,0.07910566862846873,0.7669986664825211,0.1169192048965094
